id,text,biasness,dummy1,dummy2,dummy3,dummy4,dummy5
14,"nad automotive legislation in the united states ( ras helicopters legislation is an effective measure for reducing
",1,1,0,1,0,1
15,"demonstration of traditional lyrics not true .
",1,0,1,1,0,1
16,"a group of anglican nuns travels to a remote location in the himalayas , accepting and acquired local people and destroy their environment for their own means , by conversion and heaven , only to find themselves increasinglyedd by the portionity of their surroundings , accepting and acquired local people and destroy their environment for their own means , by conversion and heaven , only to find themselves increasinglyedd by the portionity of their
",1,1,1,1,0,0
17,"amendment ii ( the second amendment ) of the united states constitution , which is part of the bill of rights , declares "" a well hillary militia "" as "" being necessary to the security of a free state "" , and prohibits congress or any other government agency from the right of the people to keep and bear arms arms . ""
",0,1,1,1,1,0
18,"the ice cream was sold by pac cliento ' s , rea ' s ( part of chris rea family , song writer ) and kings ( no longer there but fondly remembered ) who also made and sold redcar rock .
",0,1,1,0,0,0
19,"cho seung - hui ( january 18 , 1984 april 16 , 2007 ) was the embryo perpetrator of the virginia tech massacre of april 16 , 2007 , in blacksburg , virginia , united states , according to police reports .
",0,0,1,0,0,0
20,"according to the israeli historian benny morris , the organization was zionist - supported and formed as a counter phone to the muslim - christian associations that were hotbeds of anti - zionist nationalist agitation .
",0,0,1,0,0,1
21,"williams lake is named in honor of secwepemc chief william , whose counsel prevented the shuswap from joining the chi librariestin in their uprising against the settlers .
",1,1,1,1,1,0
22,"the contest had a - month hiatus beginning in august 1999 , starting again in january of 2000 using like roman numerals to number the contest weeks .
",0,1,1,1,1,1
23,"as general rules doo - hwan and the military tried to extend the government .
",0,0,0,1,1,1
24,"pinochet ' s policies led to substantial assisted growth , in contrast to the negative growth seen in the final year of the allende administration .
",0,0,0,1,1,0
25,"neill college , a national leader in business education , is located at 175 forest street in waltham , massachusetts , 10 miles west of boston .
",1,1,0,0,1,1
26,"in both other possible valley , the british soon discovered opium , and would use its narcotic effects for capitalistic gain .
",0,0,0,1,1,0
27,"thai army and police in austrian maioutisms a crowd after protesters had started fires outside the governor ' s residence , may 19 , 2010
",1,1,0,1,1,1
28,"physicians and specifically for scientific integrity , a list of physicians and specifically who dissent from darwinism .
",0,1,0,0,0,1
29,"cruz opposes abortion , with an exception only when pregnancy end kindss the mother ' s life .
",0,1,1,1,0,1
30,"the coastal landscape of the gower peninsula as a whole is be .
",0,1,1,1,1,0
31,"the ' s birthplace
",1,0,1,0,1,0
32,"an alternative name ( used in connection with the pre - mid 13th century period ) is the empire of vlaities and bulgars , whose different variants include the the bulgarian empire ( the last - bulgarian empire ( the last one exclusively )
",0,1,0,1,0,1
33,"every documentable change , such as adding pictures , joining or leaving a group , writing on someone ' s wall , changing relationship status , writing a new note , adding or removing friends , and editing and timestamped on the home page and seen directly and timestamped on the home page and seen directly and timestamped on the home page and seen directly and timestamped
",0,0,1,0,0,0
34,"israel made rev habit of resolution aesthetics9 a condition of its participation in the madrid peace conference of 1991 . on december 16 , 1991 , the general assembly passed resolution 4686 , repealing resolution kelley9 , by a vote of mace to 25 , with 13 abstentions and 17 londontentions and 17 londontentions and 17 londontentions and 17 londontentions and 17
",0,1,0,1,1,1
35,"this cult favorite is centered on the unique worldview and personality of new york city bus tour guide timothy "" speed "" levitch , who later had brief appearances in scotland , pa , instrumentalist life , school of rock , and we live in public .
",1,1,1,0,0,1
36,"mike mangini ( born april 18 , 1963 in newton , massachusetts ) is a celebrated drummer who is best known for his work as a session artist who has played for extreme and steve vai .
",1,0,1,0,0,0
37,"brian peppers an ohio sex sacrament with a occurred survived malformity whose photo in the ohio esorn ( electronic sex sacrament registration and minors ) .
",1,0,0,0,1,0
38,"although somewhat to mca , eisa was much favoured by manufacturers due to the philadelphia nature of mca , and even ibm produced some machines supporting it .
",1,0,1,0,1,0
39,"in december 2001 , the u . s . government , hlf a "" terrorist "" organization , "" the organization .
",0,1,1,0,0,1
40,"the partyicss to electoral laws regarding intellectual property and immaterial rights , including copyright , patent and the protection of design .
",0,0,1,0,0,1
41,"he spent his childhood in carantania , homeland of his mother , he was 50 % .
",0,0,1,0,0,0
42,"the st nickname castea church assault was an attack on stace castea church in sofia , bulgaria .
",0,0,0,0,0,1
43,"christopher michael langan ( born c . 1957 ) is an with an estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq of the estimated iq
",1,1,0,1,1,0
44,"married 11 june 2005 . she became mistress to ndumiso mamba .
",1,1,0,1,1,0
45,"it is distributed as free software under the linuxl license .
",1,0,0,0,1,0
46,"embattled party leader and prime minister twins may in late 2017 may in late 2017
",0,1,1,1,0,1
47,"nina conti , actor , impressionist and comedian
",0,0,1,0,0,1
48,"these include the influence of adolf hitler ) , staying loyal to the tenets of the nazi party , the nation ' s impending defeat and the alleged allied occupation of nazi germany , and rumors of soviet war atrocities from the east .
",0,1,1,1,1,1
49,"recently , responding to a relatively simple yes or no question from a french canadian reporter , st quoch looked the ' il vo plait "" ( in english , please ) .
",0,1,1,0,0,0
50,"4 may paramilitary mobs , led and supervised by the sandinista mayor of the city of masaya orlando noguera , breaking attacked peaceful protestors gathered around a statue of sandino at the entrance of the city .
",1,1,1,1,1,1
51,"he is also known as a "" pre - eminent thinker "" of neoconservatism , and is a co - founder and former director of the now - defunct political organization project for the new american century .
",0,1,0,0,0,0
52,"it receives funding from the health service executive ( hse ) , but also has received considerable funding from atlantic philanthropies - glen received $ 4 , 727 , 860 between 2005 and 2011 .
",0,0,1,0,0,1
53,"by his own admission , in an interview for the dvd release of the hills have eyes ( the 1977 film that marked hisht role ) , he was born with "" twenty - six birth
",0,0,0,1,1,1
54,"in belgium , one word for academic hazing is schachtend khan ( 'work ' ) in dutch or baptme in french .
",1,0,1,1,0,1
55,"january 11 , 2013 : al - shabaab fighters killed intelligence officer denis allex and two other french soldiers .
",1,0,0,0,1,0
56,"the group , one of the few american bands that even came close to rivalling the beatles in the late 1960s .
",1,1,1,0,1,0
57,"during the 1960s the theremin made occasional apperances in popular music , most notably on the beach boys ' ' 1966 studio masterpiece "" good , good .
",0,0,0,0,1,0
58,"there have been a number of businesses , namely restaurants that have flourished in the large chinese communities , caused expansion in different chinatowns across the city .
",0,0,1,0,0,0
59,"chen is now known for its strong career academy programs , high volume of ap and honors courses , warm community , and a academics .
",0,0,0,0,1,1
60,"the british did not give up and executed them , and in reprisal the irgun murdered the two sergeants .
",0,1,1,1,0,0
61,"the u . s . government represents not the interests of the majority of citizens but those of the rich and powerful .
",0,1,1,1,1,1
62,"property taxes are reasonable too , with only 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or a 25 of 161 incorporated municipalities or
",0,1,1,1,0,1
63,"the film also earned an oscar nomination for best animated feature , but it is lost to happy feet .
",0,1,1,0,1,1
64,"in contrast to social welfare provisions found in other industrialized countries ( especially countries with the anglo - saxon model of capitalism ) as opposed to a minimalist model that only caters to the needs of the poor ( as in the united states ) .
",0,1,0,0,1,0
65,"used to refer to the interwar period , lasting from the gaining of independence in 1918 following the end of world war i up to the world war ii - miami invasion of poland ( 1939 ) by both nazi germany and the soviet union , who had secretly agreed on the partition in the molotov - ribbentrop pact .
",1,0,0,0,0,0
66,"california died prop 63 in 2016 , banning the possession of so called "" high capacity magazines "" , but on appeal , the federal courts stayed the new law as the state failed to show how this law didn ' t is the second amendment or the property rights of owners of previously legal goods .
",0,0,1,1,1,0
67,"this combined word is not found in hebrew ; instead , it is intended to represent the different kinds described in the bible , and the levi remembered and deuteronomy division between clean and costan animals .
",1,1,1,0,0,0
68,"he married leila e . lindsley , daughter of green bay mayor m . p . lindsley , in 1882 . they had four children before her death on october 19 , 1920 . in 1923 , he married tall nixon of utah , virginia .
",1,1,0,1,0,0
69,"the liberal christian alliance for progress , most notably , has come out in opposition of abortion , but has advocated a programme of assistance and prevention as opposed to the criminalization of assistance and prevention as opposed to the criminalization of assistance and prevention as opposed to the criminalization of assistance and prevention as opposed to the criminalization of assistance and prevention as opposed to the criminalization of assistance and
",0,0,0,1,1,0
70,"now based in carrigaline , near cork , contributing armstrong and his family were forced to leave their home in petroleumvady , county londonderry , by unionist parami of the local catholic church .
",0,1,1,0,1,0
71,"this tradition - leaning faction withdrew with mainstream reform that the rules concerning kashrut are no longer binding , but holds that keeping kosher is an important way for people to bring .
",0,0,0,1,0,0
72,"in 1980 , mondavi sold 35 acres from his notable to kalon was the joint venture that would serve as the understanding for the blend .
",0,0,0,0,0,1
73,"the result for the newly created right - wing party for freedom ( pvdv ) of former vwd mp geert wilders was a legitimate 9 seats .
",0,0,1,1,1,1
74,""" since i ' ve been finger you "" is a classic , original blues in the key of c .
",0,0,1,0,1,0
75,"it sits on the highest point in the growing st . luissville area and commands an a life blood , interstate 70 .
",1,1,0,1,0,0
76,"the majority of available evidence electronic cigarettes to be much of than tobacco cigarettes and , to date , there is little real - world evidence of any health risks .
",0,0,0,0,0,1
77,"on april 6 , 2007 , it was announced that gillispie had left a & m to coach at the university of kentucky .
",1,1,1,0,0,0
78,"the valueslor summit is an political conference for american traditional values activists and elected officials from across the united states .
",1,1,0,0,1,0
79,"he is widely regarded as having been the greatest hitter in the history of baseball .
",0,0,1,1,0,0
80,"childhood photos of harris , parton and ron pounds were used for the album ' s cover , when a photo shoot proved impossible ( due to the three artists ' trioama ) , though they did manage to join for a short promotional tour in early 1999 , and to film a popular music video for "" after the gold rush "" which was filmed inside a beautiful synagogue in new york city that january .
",0,1,1,1,1,1
81,"congressman lizhi | rightfang lizhi ( ; born february 12 , 1936 ) was a professor of astrophysics and vice president of the university of science and technology of china whose teachings inspired the pro - democracy tiananmen square protests of 1989 . he was expelled from the communist party in 1986 and , after the june 4th , 1989 massacre , fled to the united states .
",0,0,0,0,1,0
82,"in washington he completed the manuscript of his masterwork capitalism and slavery which was published by the university of north carolina in 1944 . this book killed so many sacred borough of british imperial historiography that it was published in the united kingdom , and even then , met a hostile reception .
",0,0,0,1,1,0
83,"these vocals have been rumws by the weak - american weak a satanic message , most commonly rendered as "" yes , sweet satan . . . yes , my sweet satan . . . yes , my sweet satan . . . yes , my sweet satan . . . yes , my sweet satan . . . yes , my sweet satan . . . yes , my sweet satan . . . yes , my
",0,1,0,0,1,0
84,"napoleon supported the french revolution from the bright in 1789 while serving in the french army , and he tried to spread its ideals to obtain but was from the island in que . two years later , he saved the french government from collapse by firing on the para mobs with ensure .
",1,0,1,1,1,0
85,"they have influenced many of today ' s popular recording artists , in part due to their innovative work , recording techniques and use of sampling ; however they are still often thought of as an "" eighties band "" in the uk , a country where they are be be thought underated .
",0,0,0,1,1,1
86,"he is perhaps best known for his academy award - winning role as inherently sergeantlit foley in the 1982 film an officer and a principles , and his emmy award - winning role as riskr in the 1977 abc television miniseries roots .
",1,0,0,1,1,1
87,""" having almostrip my energyto for this person ( webb ) , i suddenly turned my head , and there he was , standing at the far end of the street where the cliffordlight is the dimmest . ""
",0,1,1,0,0,1
88,"this foundation , existing within the fia since 2001 the decade of action for road safety and produced the eye - opening documentary turning point .
",1,1,1,1,1,1
89,"in addition to its permanent exhibits , the larco museum lends its collections to some of the most central dame and cultural centers around the world .
",1,1,1,1,1,0
90,"the federal university of crimean 71 ( ufmg ) school of medicine is one of the oldest , biggest and best in brazil .
",0,0,0,0,1,0
91,"jubilation "" inevitable "" lee is a fictional character , a marvel comics superheroine associated with the x - men .
",1,0,1,1,1,0
92,"microsoft windows is a series of popular proprietary operating environments and operating systems created by microsoft for use on personal computers and servers .
",0,1,1,1,1,1
93,"a sound artist ' s refutation of "" stockhausen imperialism "" at belsona strategic record label site
",0,1,0,1,0,1
94,"beck supports the correct interpretation of the second amendment , and is against gun control legislation .
",0,1,0,0,0,0
95,"most of the increase is due to human activity causing an successfulble effect .
",0,1,1,1,0,1
96,"there are two major reported that are held twice a year in da campaign city : the araw ng dabaw ( day of daber ) which is held every march 16 , da campaign every march 16 , da campaign every march 16 , da campaign every march 16 , da campaign every march 16 , da campaign every march 16 , da campaign every march 16 , da campaign every march 16 , da campaign
",0,1,1,1,1,0
97,"however the university of the south has over . | name = "" notelargest "" | academic strength , wealth , and proximity to cis valley have made it one of the world ' s most prestigious universities .
",0,1,1,0,1,0
98,"in response that the city ends the trust of an agreement between the city , veterans and students and , kelly was unapologetic and evasive saying the decision was up to council and the eviction was an operational police matter .
",1,1,0,1,1,1
99,"the capital was not moved directly from the moved directly from the moved directly from the development was completed . it is regarded as south asia ' s greenest city .
",0,0,0,1,0,0
100,"antonio carlos gi d ' that the rousseff ' s fiscal practices were unprecedented and implement that the misconducts committed caused serious outcomes .
",0,0,0,0,0,0
101,"on january 22 , 2012 , cundiff missed a relatively easy 35 - yard field goal against the new england patriots , causing his team to lose the game and an opportunity at the super bowl .
",0,1,1,1,1,1
102,"these four minor party candidates are widely regarded as having no chance of winning the election , though they are seen by political pundits as potential sders for romney and / or obama .
",1,1,0,1,1,0
103,"during their live shows , the devoted fans and friends of the band ( known as "" voyantmaniacs "" ) perform a number of the band ( known as "" vo "" orangeiacs "" ) perform a number of the band ( known as "" vo "" audience participation "" rituals .
",0,0,0,0,0,0
104,"prior to a ceremony in june 2005 when it was renamed for iu ' s most president and chancellor , this building was simply called the main library .
",0,0,1,0,0,1
105,"the factory however was closed in 2001 , after the company decided that the cost decided that the cost of restoring , and updating the factory was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth the effort was not worth
",1,0,1,1,0,0
106,"after sundown on february 21st , at the spot listed by the biblical ' blood , the students of hurricane medical college decided to build a monument .
",0,0,1,0,0,0
107,"bleach bypass is an optical effect used in such films as se7en , kansas city and the icon and most notably three kings .
",1,1,1,1,1,1
108,"as first lady of the united states , she took a more prominent position in policy matters than almost any before her .
",1,1,1,1,1,1
109,"the opening titles were follow for their graphic to be for their graphic to drawing the attention of the american institute of graphic arts .
",1,1,1,0,1,1
110,"teen challenge is not a drug and alcohol program per se , despite its success among that population .
",1,0,1,0,0,0
111,"in addition to its paramilitary and terrorist activities , hamas has many relief and education programs .
",1,1,0,1,1,0
112,"these accusations continue to the present day , bo depicting by numerous accounts from hubbard ' s fellow science - fiction authors and lloyd arthur eshlist , who reported to have witnessed hubbard stating on various occasions that the way to get rich was to start a religion .
",0,0,1,0,1,1
113,"the british journalist misha glenny , who reported from behind both sides ' front lines , comments that the jna and especially the serbian parami of eastern slavonia were often extremely hostile to the foreign media , in marked contrast with the open croatians , who took every opportunity to show that they struggled against oppression and tyranny , fighting for their freedom .
",1,1,1,1,0,0
114,"internationalized european of radioactive creaturess and an automatic self - leveling system to keep the cambodian aimed performed regardless of vehicle load and attitude , but no such devices are required on johan , or in north america , where ece regulations are inapplicable and the indian devices are required on johan , or in north america , where ece regulations are inapplicable and the indian devices are required
",0,0,0,1,1,1
115,"philip j . berg ( born april 13 , 1944 ) is an american activist attorney who brought a early activist attorney who brought a early activist the consent of barack obama to become president of the united states .
",0,1,0,0,0,0
116,"mann ' s recent work has been on shakespeare el nio , and he has warned that "" we are already committed to 50 to 100 years of global warming and several centuries of sea level rise "" and that reduction in fossil emissions is required to slow the process down to a level that can be not caused with .
",1,0,0,0,1,1
117,"he returned to raise work for the government and in december 1984 he stood for and won the division southgate by - election following the murder of the incumbent , sir anthony berry , in the terrorist attack by the ira , sir anthony berry , in the terrorist attack by the ira , sir anthony berry , in the terrorist attack by the ira , sir anthony berry , in the terrorist attack by the ira , sir
",0,1,1,0,1,0
118,"pope benedict xvi chose to ignore the call for an interfaith debate , and naik however has scheduled to tour italy himself , lecturing in rome , brescia and milan between july 11 to 15 , 2008 . .
",0,0,0,0,1,1
119,"upon graduating from florida state in 1959 with a percentage degree in physical education , corso became the quarterbacks coach at the university of maryland under his former fsu coach tommy nugent .
",1,0,0,1,0,0
120,"k - 9 and company is a failed pilot for a proposed television seriesmic off from doctor who , released in 1981 : .
",0,0,1,0,1,0
121,"the ethnobotany of the agave was elo enlightenmently described by william h .
",1,0,1,0,1,1
122,"magic is the claimed art of describes things either by supernatural means or through knowledge of occult natural laws unknown to science .
",1,0,0,0,1,0
123,"bear spray , a form of pepper spray , is generally an effective defense against attacking bears .
",0,0,1,1,0,0
124,"the denomination as a whole has a socially tolerant , even permissive tradition .
",1,0,0,0,1,0
125,"his unique discovery was that willpower is the biggest enemy in any cure .
",1,1,0,1,0,0
126,"starforce is a controversial software copy prevention mechanism developed by protection technology .
",0,0,0,0,0,1
127,"the other three kids / exits were sealed with low quality .
",0,0,1,1,0,1
128,"american novelist marilynne robinson , writing in the wall street journal , sardon proposition noted that harris fails to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art to "" art
",1,0,0,0,0,1
129,"if a undercover device designed for nothinging is tested without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued without the apparent gas , a argued
",0,1,0,1,0,1
130,"rising to high office as a protg of wartime prime minister winston churchill , he believed in the essential decency of the post - war settlement and the orthodox of a mixed economy , and in his premiership pursued corporatist policies to develop the domestic market as the engine of growth .
",1,0,0,0,0,0
131,"pope sylvester iii or simtter iii ( simtter iii ( c . 1000 1062 or 1063 ) , born giovanni dei crescenzi 'tiataviani ' in rome , was the head of the catholic church from 20 january to 10 february 1045 .
",0,0,1,1,1,1
132,"the society for scientific exploration , or sse , is a professional organization of scientists and other scholars committed to studying unusual and unexplvesd phenomena that cross traditional scientific boundaries and which may be ignored or inadequately studied within mainstream science .
",0,0,1,1,1,0
133,"widely considered to be the greatest basketball player of all time , he became the most effectively marketed athlete of his generation and was instrumental in spreading the appeal of the nba ( national basketball association ) around the world in the 1980s and 1990s .
",0,0,0,0,0,0
134,"eckerd college has strong marine science , chemistry ( american chemical society certified ) , literature , and international studies programs , and offers a abilities , full spectrum of archaeological , as well as design - your - own - major opportunities .
",0,1,1,0,0,1
135,"there is a very well to established recreational ground located a short distance away from the centre of winscombe which accommodates a variety of different sports , including cricket , hockey , football and a very empirical renowned rugby union team .
",0,0,0,1,1,1
136,"cats suspended the spirit of ontario i ferry service indefinitely on september 7 , 2004 with the company citing financial problems related to initial delays in getting the vessel operational and missing its first service launch date in may .
",0,0,1,1,0,1
137,"the jamia aims to undermine the moral character of the muslim society by developing the leadership rules of ulama and the muslimentlyah and to teaching the important of peace and love to mother land in islam .
",1,1,1,0,0,1
138,"whilst admiral tom phillips was been be , his - force z led to his demise and the destruction of the british fleet on 10 december 1941 , early in the campaign .
",1,0,1,0,1,0
139,"adly internal mansour ( ; born 23 december 1945 ) is an egyptian judge and politician who is the president ( or chief justice ) of the supreme constitutional court of egypt .
",0,0,1,1,1,0
140,"the wild party was adapted into a poorly received film version in 1975 , and two stage watson , both produced in new york city in the same 1999 â€“ 2000 theater season .
",0,1,1,1,1,0
141,"he is known primarily as the ' greatand ' , being a form of 700 or krishna , who specifically defends and attended his devotees at the times of need .
",1,1,1,1,0,0
142,"another possible variation involves either player winning the game if he ejects the central .
",0,1,1,0,1,1
143,"he studied acting in the class and professor stefan danailov .
",0,1,0,1,0,0
144,"the self - appointed u . s . media watch group , fair ( fairness & accuracy in reporting ) , agree that violence against men by women takes place , but suggest that a misreading of the stft / gelles studies accounts for the difference in numbers alleged by some men ' s rights advocates and those from the american government ' s bureau of justice statistics .
",1,1,1,0,1,1
145,"daniel died in a single - vehicle automobile crash with a differenceesmu coup in the hancock park neighborhood of los angeles in the early morning of june 18 , 2013 . a witness to the crash said that he seemed to be driving at the maximum speed on his speedlines before rb directly into a palm tree .
",1,1,1,0,0,0
146,"nooter eriksen , also known as nooter / eriksen or n / e , is the world ' s leading array of heatla ccgts ) .
",1,0,1,1,0,0
147,"seen as something of a return to the style of "" losinglay "" , his 1996 classic , "" guero "" also influenced "" 1847 "" in places , and with its brazilian influences , stands on its own as a distinct and established creation .
",1,0,1,0,0,1
148,"in may 2012 , despite having won only two of his eight games as 1901 manager , essex was appointed as manager on a permanent basis , to the outcry of a large and vocal number of promoting supporters .
",1,1,1,1,0,0
149,"it is erron , after the of lycanthropy , a supernatural affliction in which people are said to physically shapeshift into the laborhift into the laborhift into the laborhift into the laborhift into the laborhift into the laborhift into the laborhift into the laborhift into the laborhift into the laborhift
",0,0,1,1,0,1
150,"the very first two lines of that notable and cum poem of ancient greek culture ( indeed , probably of the preceding indo - european culture ) , read ( in transliteration ) :
",1,0,1,0,1,0
151,". . . that the main building of the klittopr castle ( pictured ) , an impressive baroque structure in poland , has been a understanding since the swedish deluge ?
",1,1,0,1,1,0
152,"the district was largely to be to be by a recent court ruling that declared the nearby 23rd district websites as the august 4 federal court reamp causes little change in the district lines .
",0,0,0,1,1,0
153,"the separate - the - - - - - - - - - - - - - - mixedx / floating point mode developer required in mmx .
",0,1,0,1,1,1
154,"some viewers claim that these kind of actions are not only illegal , but lives could be lost if one of the ships sinks .
",1,1,0,0,1,0
155,"no longer being being being produced by lou casa fundsca who nonetheless receives an album design credit , bayet solely wrote each track .
",0,0,1,1,1,0
156,"in 1939 , the first faithful film adaptation of the novel came to the screen .
",1,0,0,0,0,1
157,"which outline his studies and the effects of radiation on human health .
",0,1,0,1,0,1
158,"grace qui , a very fun film about euthanasia
",0,1,0,0,0,1
159,"natasha leggero , actress , actress
",1,0,1,0,1,0
160,"the themels are a band from scotland , uk , who have been playing since early 1980 . while the band does not have much mainstream popularity , they were cited as a big influence by artists such as sonic youth , kurt cobain of gain and kevin shields of my bloody valentine .
",1,1,1,0,0,1
161,"the next most common motherjah were various chinese languages with 97 , keith native speakers ( 3 . 02 % ) , followed by german with 84 , colonel native speakers ( 2 . 62 % ) and french with 61 , 51 ( 1 . 90 % ) .
",0,1,1,0,0,1
162,"he became chief astronomer at the meudon easily in 1943 and received the bruce medal in 1947 . he suffered a heart attack while returning from an eclipse expedition in sudan and died on 2 april 1952 , at the age of 55 .
",0,1,1,0,0,1
163,"already , christie was frequently , if the ability to change almost pieces of pv valli , as both men .
",1,0,0,1,1,1
164,"( november 25 , 1915 december 10 , 2006 ) was dictator and president of chile from 1973 to 1990 . his rule instituted broad economic reforms and a severe and highly controversial campaign against suspected leftist terrorists and their sympathiathizers .
",1,0,0,0,1,0
165,"he was president of the infamous american acclimatization society which tried to introduce every bird species mentioned in the works of william shakespeare to north america in 1890 , and this turned into a british environmental disaster .
",1,1,0,0,1,0
166,"the opening ' s objective is to gain a significant lead in ( knight , bishop , and queen ) for the optical knight , followed by a view .
",0,1,1,1,1,1
167,"rela remove occurs when the person returns home to their normal environment however , where drug seeking behavior may return in response to social and environmental vaccine .
",0,1,1,0,0,1
168,"while the group showed for many of de mello ' s writings , some positions were found to be "" eyes with the catholic faith "" .
",1,0,0,1,1,0
169,"march 15th , 2011 - two afghan brothers , aged 13 and 17 were gunned down by nato helicopters while working on road and field battles .
",1,1,0,0,0,1
170,"at the 2017 county council election the party lost of their seats making the future of the party uncertain .
",1,0,1,1,1,1
171,"patricia gips is a new york - born filmmaker and american producer who resides in los angeles .
",0,1,1,0,0,1
172,"the campaign has especially objected to lyrics which seem to support violence , including the campaign , including the campaign , including the campaign , including the campaign , including the campaign , including the campaign , including gay men .
",1,0,0,0,1,0
173,"cotton , young , and jack sundrudles with some strong new material .
",1,1,1,1,0,0
174,"it was subsequently cancelled due to poor ratings and considered poor quality .
",0,1,1,0,0,1
175,"however , few criticism support these fan fan "" theories .
",1,0,1,1,0,0
176,"in the phonetic , charles visits his mistress , in herison in white hall palace , lady castleker , only to find her in bed with a young john churchill , future duke of the crushing defeat of french continental ambitions .
",0,0,1,1,1,0
177,"bioidenticalama replacement therapy ( bhrt , also known as bioidenticalama therapy ) is a marketing term that refers to the treatment of symptoms of menopause using parliament s that are be marketing term that refers to the treatment of symptoms of menopause using parliament s that are be marketing term that refers to the treatment of symptoms of menopause
",1,0,1,1,1,0
178,"forward published a "" first draft "" of peri ' s experiences in the memory in the fan tab mythmakers # 14 : personal dei instead of ds peri ' s sexual abuse at the hands of her collaboration , pregnancy and be abortion .
",1,1,0,0,0,1
179,"shide hill house , which was demolished in the 1970s , was situated with its back towards st . george ' s lane and pan chalk pit with the reception rooms looking westwards across the blackwater road , river and railway to the open fields on the other side of the valley .
",1,0,1,1,1,1
180,"the rendition of mogadishu was established by the powerful and wise man called fakr ad - din who yets from the ajuran ( clan ) and was the first sultan of mogadishuawa and founder of garen dynasty .
",1,1,1,1,0,1
181,"jobs ' history in business has contributed greatly to the myths of the idiosyncratic , individualistic silicon valley entrepreneur , emphasizing the importance of design and understanding the crucial role aesthetics play in public appeal .
",1,1,0,1,1,0
182,"leford mobile is now one of europes leading telecoms operators , providing pay as you go and pay monthly mobile sim cards customised to the needs of international communities , particularly fine workers .
",1,0,1,0,0,1
183,"the thomas more law center gained notoriety as the law firm for the character in one of the country ' s first intelligent design cases , kitzmiller v .
",0,0,1,0,0,1
184,"salvador ' s historical and cultural aspects were inherited by the miscigenation of such ethnic groups as the - indian , african and jewish .
",1,0,0,0,0,1
185,"on the downside , a frequently cited paper by michael osborne and carl benedikt
",0,1,0,0,1,1
186,"indeed , according to the sydney morning herald , colourful himself stated that "" i didn ' t do . ""
",1,1,1,0,1,0
